"COUNTRY.ID","COUNTRY","TIME_PERIOD","OBS_VALUE","COMMODITY_CF.ID","COMMODITY_CF"
"G001","World","2000-M01","284.065625","",""
"G001","World","2000-M02","299.715","",""
"G001","World","2000-M03","286.924","",""
"G001","World","2000-M04","279.6526316","",""
"G001","World","2000-M05","276.7409091","",""
"G001","World","2000-M06","285.7318182","",""
"G001","World","2000-M07","281.5857143","",""
"G001","World","2000-M08","274.425","",""
"G001","World","2000-M09","273.53","",""
"G001","World","2000-M10","269.9285714","",""
"G001","World","2000-M11","266.2973684","",""
"G001","World","2000-M12","271.45","",""
"G001","World","2001-M01","265.4863636","",""
"G001","World","2001-M02","262.0894737","",""
"G001","World","2001-M03","263.0272727","",""
"G001","World","2001-M04","260.3305556","",""
"G001","World","2001-M05","272.0931818","",""
"G001","World","2001-M06","270.202381","",""
"G001","World","2001-M07","267.5261905","",""
"G001","World","2001-M08","272.0921053","",""
"G001","World","2001-M09","284.4723529","",""
"G001","World","2001-M10","282.2671429","",""
"G001","World","2001-M11","277.184375","",""
"G001","World","2001-M12","275.8357143","",""
"G001","World","2002-M01","281","",""
"G001","World","2002-M02","295.2875","",""
"G001","World","2002-M03","294.0475","",""
"G001","World","2002-M04","302.6833333","",""
"G001","World","2002-M05","314.4931818","",""
"G001","World","2002-M06","321.1777778","",""
"G001","World","2002-M07","313.2913043","",""
"G001","World","2002-M08","310.2809524","",""
"G001","World","2002-M09","319.1357143","",""
"G001","World","2002-M10","316.5565217","",""
"G001","World","2002-M11","320.4357143","",""
"G001","World","2002-M12","332.0361111","",""
"G001","World","2003-M01","356.8590909090909","",""
"G001","World","2003-M02","358.97","",""
"G001","World","2003-M03","340.55","",""
"G001","World","2003-M04","328.18","",""
"G001","World","2003-M05","355.6825","",""
"G001","World","2003-M06","356.352380952381","",""
"G001","World","2003-M07","351.0195652173913","",""
"G001","World","2003-M08","359.7675","",""
"G001","World","2003-M09","378.9454545454545","",""
"G001","World","2003-M10","378.9195652173913","",""
"G001","World","2003-M11","389.91","",""
"G001","World","2003-M12","406.9526315789474","",""
"G001","World","2004-M01","413.7880952380952","",""
"G001","World","2004-M02","404.8775","",""
"G001","World","2004-M03","406.6673913043478","",""
"G001","World","2004-M04","403.26","",""
"G001","World","2004-M05","383.7789473684211","",""
"G001","World","2004-M06","392.3727272727273","",""
"G001","World","2004-M07","398.0909090909091","",""
"G001","World","2004-M08","400.5095238095238","",""
"G001","World","2004-M09","405.275","",""
"G001","World","2004-M10","420.4642857142857","",""
"G001","World","2004-M11","439.375","",""
"G001","World","2004-M12","442.0789473684211","",""
"G001","World","2005-M01","424.03","",""
"G001","World","2005-M02","423.35","",""
"G001","World","2005-M03","434.3214285714286","",""
"G001","World","2005-M04","429.2333333333333","",""
"G001","World","2005-M05","421.8725","",""
"G001","World","2005-M06","430.6568181818182","",""
"G001","World","2005-M07","424.4785714285714","",""
"G001","World","2005-M08","437.9295454545455","",""
"G001","World","2005-M09","456.0477272727273","",""
"G001","World","2005-M10","469.897619047619","",""
"G001","World","2005-M11","476.6659090909091","",""
"G001","World","2005-M12","510.0972222222222","",""
"G001","World","2006-M01","549.8642857142857","",""
"G001","World","2006-M02","554.995","",""
"G001","World","2006-M03","557.0934782608696","",""
"G001","World","2006-M04","610.6527777777778","",""
"G001","World","2006-M05","675.3928571428571","",""
"G001","World","2006-M06","596.1454545454545","",""
"G001","World","2006-M07","633.7095238095238","",""
"G001","World","2006-M08","632.5931818181818","",""
"G001","World","2006-M09","598.1857142857143","",""
"G001","World","2006-M10","585.7795454545455","",""
"G001","World","2006-M11","627.8272727272727","",""
"G001","World","2006-M12","629.7911764705882","",""
"G001","World","2007-M01","631.1659090909091","",""
"G001","World","2007-M02","664.745","",""
"G001","World","2007-M03","654.8954545454545","",""
"G001","World","2007-M04","679.3684210526316","",""
"G001","World","2007-M05","666.8595238095238","",""
"G001","World","2007-M06","655.4904761904762","",""
"G001","World","2007-M07","665.2954545454545","",""
"G001","World","2007-M08","665.4113636363636","",""
"G001","World","2007-M09","712.6525","",""
"G001","World","2007-M10","754.604347826087","",""
"G001","World","2007-M11","806.2477272727273","",""
"G001","World","2007-M12","803.2029411764706","",""
"G001","World","2008-M01","889.5954545454545","",""
"G001","World","2008-M02","922.297619047619","",""
"G001","World","2008-M03","968.4342105263158","",""
"G001","World","2008-M04","909.7045454545455","",""
"G001","World","2008-M05","888.6625","",""
"G001","World","2008-M06","889.4880952380952","",""
"G001","World","2008-M07","939.7717391304348","",""
"G001","World","2008-M08","839.025","",""
"G001","World","2008-M09","829.9318181818182","",""
"G001","World","2008-M10","806.6195652173913","",""
"G001","World","2008-M11","760.8625","",""
"G001","World","2008-M12","816.0921052631579","",""
"G001","World","2009-M01","858.6904761904762","",""
"G001","World","2009-M02","943.1625","",""
"G001","World","2009-M03","924.2727272727273","",""
"G001","World","2009-M04","890.2","",""
"G001","World","2009-M05","928.6447368421053","",""
"G001","World","2009-M06","945.6704545454545","",""
"G001","World","2009-M07","934.2282608695652","",""
"G001","World","2009-M08","949.375","",""
"G001","World","2009-M09","996.5909090909091","",""
"G001","World","2009-M10","1043.159090909091","",""
"G001","World","2009-M11","1127.035714285714","",""
"G001","World","2009-M12","1134.723684210526","",""
"G001","World","2010-M01","1117.9625","",""
"G001","World","2010-M02","1095.4125","",""
"G001","World","2010-M03","1113.336956521739","",""
"G001","World","2010-M04","1148.6875","",""
"G001","World","2010-M05","1205.434210526316","",""
"G001","World","2010-M06","1232.920454545455","",""
"G001","World","2010-M07","1192.965909090909","",""
"G001","World","2010-M08","1215.809523809524","",""
"G001","World","2010-M09","1270.977272727273","",""
"G001","World","2010-M10","1342.02380952381","",""
"G001","World","2010-M11","1369.886363636364","",""
"G001","World","2010-M12","1390.552631578947","",""
"G001","World","2011-M01","1356.4","",""
"G001","World","2011-M02","1372.725","",""
"G001","World","2011-M03","1424.010869565217","",""
"G001","World","2011-M04","1473.805555555556","",""
"G001","World","2011-M05","1510.4375","",""
"G001","World","2011-M06","1528.659090909091","",""
"G001","World","2011-M07","1572.809523809524","",""
"G001","World","2011-M08","1755.806818181818","",""
"G001","World","2011-M09","1771.852272727273","",""
"G001","World","2011-M10","1665.214285714286","",""
"G001","World","2011-M11","1738.977272727273","",""
"G001","World","2011-M12","1652.305555555556","",""
"G001","World","2012-M01","1656.119047619048","",""
"G001","World","2012-M02","1742.619047619048","",""
"G001","World","2012-M03","1673.772727272727","",""
"G001","World","2012-M04","1650.065789473684","",""
"G001","World","2012-M05","1585.504545454545","",""
"G001","World","2012-M06","1596.697368421053","",""
"G001","World","2012-M07","1593.909090909091","",""
"G001","World","2012-M08","1626.034090909091","",""
"G001","World","2012-M09","1744.45","",""
"G001","World","2012-M10","1747.010869565217","",""
"G001","World","2012-M11","1721.136363636364","",""
"G001","World","2012-M12","1688.529411764706","",""
"G001","World","2013-M01","1670.954545454545","",""
"G001","World","2013-M02","1627.5875","",""
"G001","World","2013-M03","1592.8625","",""
"G001","World","2013-M04","1485.083333333333","",""
"G001","World","2013-M05","1413.5","",""
"G001","World","2013-M06","1342.3625","",""
"G001","World","2013-M07","1286.723913043478","",""
"G001","World","2013-M08","1347.095238095238","",""
"G001","World","2013-M09","1348.797619047619","",""
"G001","World","2013-M10","1316.184782608696","",""
"G001","World","2013-M11","1275.821428571429","",""
"G001","World","2013-M12","1225.402777777778","",""
"G001","World","2014-M01","1244.795454545455","",""
"G001","World","2014-M02","1300.975","",""
"G001","World","2014-M03","1336.083333333333","",""
"G001","World","2014-M04","1299","",""
"G001","World","2014-M05","1287.525","",""
"G001","World","2014-M06","1279.095238095238","",""
"G001","World","2014-M07","1310.967391304348","",""
"G001","World","2014-M08","1295.9875","",""
"G001","World","2014-M09","1238.818181818182","",""
"G001","World","2014-M10","1222.489130434783","",""
"G001","World","2014-M11","1176.3","",""
"G001","World","2014-M12","1202.289473684211","",""
"G001","World","2015-M01","1251.845238095238","",""
"G001","World","2015-M02","1227.1875","",""
"G001","World","2015-M03","1178.629545454545","",""
"G001","World","2015-M04","1197.91","",""
"G001","World","2015-M05","1199.052631578947","",""
"G001","World","2015-M06","1181.504545454545","",""
"G001","World","2015-M07","1130.036956521739","",""
"G001","World","2015-M08","1117.475","",""
"G001","World","2015-M09","1124.531818181818","",""
"G001","World","2015-M10","1159.245454545455","",""
"G001","World","2015-M11","1085.702380952381","",""
"G001","World","2015-M12","1068.252631578947","",""
"G001","World","2016-M01","1097.375","",""
"G001","World","2016-M02","1199.911904761905","",""
"G001","World","2016-M03","1246.338095238095","",""
"G001","World","2016-M04","1242.261904761905","",""
"G001","World","2016-M05","1259.3975","",""
"G001","World","2016-M06","1276.404545454545","",""
"G001","World","2016-M07","1337.32619047619","",""
"G001","World","2016-M08","1341.088636363636","",""
"G001","World","2016-M09","1326.029545454545","",""
"G001","World","2016-M10","1266.569047619048","",""
"G001","World","2016-M11","1235.979545454545","",""
"G001","World","2016-M12","1151.402777777778","",""
"G001","World","2017-M01","1192.616666666667","",""
"G001","World","2017-M02","1234.3575","",""
"G001","World","2017-M03","1231.09347826087","",""
"G001","World","2017-M04","1265.627777777778","",""
"G001","World","2017-M05","1245.004761904762","",""
"G001","World","2017-M06","1260.256818181818","",""
"G001","World","2017-M07","1236.221428571429","",""
"G001","World","2017-M08","1282.315909090909","",""
"G001","World","2017-M09","1314.978571428571","",""
"G001","World","2017-M10","1279.513636363636","",""
"G001","World","2017-M11","1282.284090909091","",""
"G001","World","2017-M12","1261.255882352941","",""
"G001","World","2018-M01","1331.665909090909","",""
"G001","World","2018-M02","1331.525","",""
"G001","World","2018-M03","1324.657142857143","",""
"G001","World","2018-M04","1334.74","",""
"G001","World","2018-M05","1303.02619047619","",""
"G001","World","2018-M06","1281.566666666667","",""
"G001","World","2018-M07","1238.525","",""
"G001","World","2018-M08","1201.245454545455","",""
"G001","World","2018-M09","1198.4725","",""
"G001","World","2018-M10","1215.39347826087","",""
"G001","World","2018-M11","1220.945454545455","",""
"G001","World","2018-M12","1247.923529411765","",""
"G001","World","2019-M01","1291.745454545455","",""
"G001","World","2019-M02","1320.065","",""
"G001","World","2019-M03","1300.897619047619","",""
"G001","World","2019-M04","1286.445","",""
"G001","World","2019-M05","1283.947619047619","",""
"G001","World","2019-M06","1359.0425","",""
"G001","World","2019-M07","1412.978260869565","",""
"G001","World","2019-M08","1498.797619047619","",""
"G001","World","2019-M09","1511.314285714286","",""
"G001","World","2019-M10","1494.8","",""
"G001","World","2019-M11","1470.016666666667","",""
"G001","World","2019-M12","1476.044444444444","",""
"G001","World","2020-M01","1560.672727272727","",""
"G001","World","2020-M02","1597.1025","",""
"G001","World","2020-M03","1591.927272727273","",""
"G001","World","2020-M04","1682.93","",""
"G001","World","2020-M05","1716.381578947368","",""
"G001","World","2020-M06","1732.218181818182","",""
"G001","World","2020-M07","1843.313043478261","",""
"G001","World","2020-M08","1968.030952380952","",""
"G001","World","2020-M09","1922.213636363636","",""
"G001","World","2020-M10","1900.275","",""
"G001","World","2020-M11","1863.492857142857","",""
"G001","World","2020-M12","1855.955263157895","",""
"G001","World","2021-M01","1866.985","",""
"G001","World","2021-M02","1808.175","",""
"G001","World","2021-M03","1718.228260869565","",""
"G001","World","2021-M04","1761.6775","",""
"G001","World","2021-M05","1855.56","",""
"G001","World","2021-M06","1834.565909090909","",""
"G001","World","2021-M07","1807.093181818182","",""
"G001","World","2021-M08","1783.969047619048","",""
"G001","World","2021-M09","1777.252272727273","",""
"G001","World","2021-M10","1776.854761904762","",""
"G001","World","2021-M11","1820.234090909091","",""
"G001","World","2021-M12","1786.652631578947","",""
"G001","World","2022-M01","1816.765","",""
"G001","World","2022-M02","1856.295","",""
"G001","World","2022-M03","1947.828260869565","",""
"G001","World","2022-M04","1933.9","",""
"G001","World","2022-M05","1849.833181818182","",""
"G001","World","2022-M06","1837.064090909091","",""
"G001","World","2022-M07","1737.380476190476","",""
"G001","World","2022-M08","1764.132608695652","",""
"G001","World","2022-M09","1683.208181818182","",""
"G001","World","2022-M10","1666.626666666667","",""
"G001","World","2022-M11","1727.898636363636","",""
"G001","World","2022-M12","1797.408181818182","",""
"G001","World","2023-M01","1896.059545454545","",""
"G001","World","2023-M02","1853.409","",""
"G001","World","2023-M03","1913.648260869565","",""
"G001","World","2023-M04","1999.6685","",""
"G001","World","2023-M05","1989.826956521739","",""
"G001","World","2023-M06","1944.728636363636","",""
"G001","World","2023-M07","1950.27","",""
"G001","World","2023-M08","1919.302173913043","",""
"G001","World","2023-M09","1915.434761904762","",""
"G001","World","2023-M10","1913.984545454545","",""
"G001","World","2023-M11","1985.777727272727","",""
"G001","World","2023-M12","2034.704285714286","",""
"G001","World","2024-M01","2034.006086956522","",""
"G001","World","2024-M02","2024.44619047619","",""
"G001","World","2024-M03","2162.34619047619","",""
"G001","World","2024-M04","2333.550454545455","",""
"G001","World","2024-M05","2350.59652173913","",""
"G001","World","2024-M06","2328.2625","",""
"G001","World","2024-M07","2393.962173913043","",""
"G001","World","2024-M08","2468.328636363636","",""
"G001","World","2024-M09","2569.049047619048","",""
"G001","World","2024-M10","2689.128695652174","",""
"G001","World","2024-M11","2652.199523809524","",""
"G001","World","2024-M12","2640.605454545455","",""
